date,datatype,station,value,fl_M,fl_S,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
2018-01-01T00:00:00,PRCP,GHCND:GME00122218,353.7,,E,110,2008-06-01,2020-02-29,52.2478,"HELMSTEDT EMMERSTEDT, GM",1,GHCND:GME00122218,METERS,10.9603
2018-01-01T00:00:00,PRCP,GHCND:GME00122290,581.4,,E,622,1987-10-01,2020-02-29,49.7328,"FLOSSENBURG, GM",0.9154,GHCND:GME00122290,METERS,12.3506
2018-01-01T00:00:00,PRCP,GHCND:GME00122326,816.1,,E,745,1969-01-01,2020-02-29,50.5317,"BIRX RHON, GM",0.9119,GHCND:GME00122326,METERS,10.0492
2018-01-01T00:00:00,PRCP,GHCND:GME00122362,501.3,,E,124,1985-11-01,2020-02-29,50.1281,"FRANKFURT MAIN WESTEND, GM",0.9927,GHCND:GME00122362,METERS,8.6703
2018-01-01T00:00:00,PRCP,GHCND:GME00122386,445.1,,E,48,1947-01-01,2020-02-29,52.3653,"FRANKFURT ODER, GM",0.9317,GHCND:GME00122386,METERS,14.5378
2018-01-01T00:00:00,PRCP,GHCND:GME00122410,745.8,,E,510,1955-01-01,2020-02-29,48.4067,"ALTOMUNSTER MAISBRUNN, GM",1,GHCND:GME00122410,METERS,11.3131
2018-01-01T00:00:00,PRCP,GHCND:GME00122422,846.1,,E,530,1961-01-01,2020-02-29,50.1517,"HERSDORF WEISSENSEIFEN, GM",0.9987,GHCND:GME00122422,METERS,6.5531
2018-01-01T00:00:00,PRCP,GHCND:GME00122434,953,,E,481,1971-05-01,2020-02-29,48.2028,"FREIAMT OTTOSCHWANDEN, GM",0.9781,GHCND:GME00122434,METERS,7.9342
2018-01-01T00:00:00,PRCP,GHCND:GME00122446,520.5,,E,380,1947-01-01,2020-02-29,50.9281,"FREIBERG, GM",0.6181,GHCND:GME00122446,METERS,13.3389
2018-01-01T00:00:00,PRCP,GHCND:GME00122458,617.5,,E,236,1921-01-01,2020-02-29,48.0242,"FREIBURG, GM",0.854,GHCND:GME00122458,METERS,7.8353
2018-01-01T00:00:00,PRCP,GHCND:GME00122482,578.8,,E,2,1970-11-01,2020-02-29,53.8292,"FREIBURG ELBE, GM",1,GHCND:GME00122482,METERS,9.2494
2018-01-01T00:00:00,PRCP,GHCND:GME00122494,647.4,,E,436,1941-01-01,2020-02-29,49.1792,"FREYSTADT OBERNDORF, GM",0.9993,GHCND:GME00122494,METERS,11.375
2018-01-01T00:00:00,PRCP,GHCND:GME00122542,527.7,,E,8,1947-02-01,2020-02-29,53.0894,"FRIESOYTHE EDEWECHTERDAM, GM",0.9212,GHCND:GME00122542,METERS,7.9425
2018-01-01T00:00:00,PRCP,GHCND:GME00122566,501.2,,E,215,1951-01-01,2020-02-29,49.7281,"ALZEY, GM",0.9844,GHCND:GME00122566,METERS,8.1167
2018-01-01T00:00:00,PRCP,GHCND:GME00122602,545.4,,E,383,1947-01-01,2020-02-29,49.47,"AMBERG UNTERAMMERSRICHT, GM",0.9978,GHCND:GME00122602,METERS,11.8558
2018-01-01T00:00:00,PRCP,GHCND:GME00122626,481.8,,E,255,1949-01-01,2020-02-29,50.5344,"FULDA, GM",0.8781,GHCND:GME00122626,METERS,9.6758
2018-01-01T00:00:00,PRCP,GHCND:GME00122638,322.7,,E,47,1947-01-01,2020-02-29,52.5142,"GARDELEGEN, GM",0.999,GHCND:GME00122638,METERS,11.3978
2018-01-01T00:00:00,PRCP,GHCND:GME00122650,859.7,,E,515,1994-01-01,2020-02-29,48.0206,"AMERANG PFAFFING, GM",1,GHCND:GME00122650,METERS,12.2939
2018-01-01T00:00:00,PRCP,GHCND:GME00122698,470,,E,110,1884-07-01,2020-02-29,49.985,"GEISENHEIM, GM",0.7572,GHCND:GME00122698,METERS,7.9544
2018-01-01T00:00:00,PRCP,GHCND:GME00122710,648.2,,E,672,1971-01-01,2020-02-29,47.925,"GEISINGEN, GM",0.8763,GHCND:GME00122710,METERS,8.6481
2018-01-01T00:00:00,PRCP,GHCND:GME00122734,718.3,,E,536,1998-01-01,2020-02-29,48.9489,"GELBELSEE, GM",0.9706,GHCND:GME00122734,METERS,11.43
2018-01-01T00:00:00,PRCP,GHCND:GME00122746,523,,E,37,1941-01-01,2020-02-29,51.4956,"GELDERN WALBECK, GM",0.9748,GHCND:GME00122746,METERS,6.2467
2018-01-01T00:00:00,PRCP,GHCND:GME00122770,722.3,,E,176,1970-01-01,2020-02-29,48.4339,"OHLSBACH, GM",0.9402,GHCND:GME00122770,METERS,7.9933
2018-01-01T00:00:00,PRCP,GHCND:GME00122782,371.3,,E,35,1951-01-01,2020-02-29,52.3892,"GENTHIN, GM",0.8934,GHCND:GME00122782,METERS,12.1633
2018-01-01T00:00:00,PRCP,GHCND:GME00122806,339.3,,E,96,1941-01-01,2020-02-29,49.7725,"GERNSHEIM ALLMENDFELD, GM",0.98,GHCND:GME00122806,METERS,8.5306
2018-01-01T00:00:00,PRCP,GHCND:GME00122842,536.5,,E,340,1931-01-01,2020-02-29,50.9664,"GILSERBERG MOISCHEID, GM",0.9833,GHCND:GME00122842,METERS,9.0503
2018-01-01T00:00:00,PRCP,GHCND:GME00122866,610.2,,E,1,1931-01-01,2020-02-29,53.7983,"GLUCKSTADT, GM",0.9876,GHCND:GME00122866,METERS,9.4306
